Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1976,discus F,discus,F,1283,1613,1449.1111,1406,101.9166,9
1977,discus F,discus,F,1355,1644,1505.7,1547,90.2231,10
1978,discus F,discus,F,1411,1791,1556.7778,1500,129.9998,9
1979,discus F,discus,F,1496,2005,1656.7,1625,143.7185,10
1980,discus F,discus,F,1475,2075,1702.75,1683,180.7946,8
1981,discus F,discus,F,1567,1954,1706.4444,1675,123.7965,9
1982,discus F,discus,F,1561,1922,1721.125,1745,118.7691,8
1983,discus F,discus,F,1477,2040,1690.6667,1668,178.3567,9
1984,discus F,discus,F,1402,1909,1638.75,1669,142.7461,8
1985,discus F,discus,F,1647,1946,1740.1111,1708,80.2018,9
1986,discus F,discus,F,1502,1874,1673.2222,1612,127.4988,9
1987,discus F,discus,F,1417,1749,1586.2222,1592,111.2143,9
1988,discus F,discus,F,1627,1915,1774.7778,1766,88.7453,9
1989,discus F,discus,F,1524,2016,1781,1777,143.0656,9
1990,discus F,discus,F,1601,2039,1739,1708,136.5845,9
1991,discus F,discus,F,1558,1931,1700.1111,1707,113.7125,9
1992,discus F,discus,F,1397,2036,1646.7778,1596,172.5423,9
1993,discus F,discus,F,1331,2027,1705.5556,1734,196.2793,9
1994,discus F,discus,F,1651,2090,1765.75,1744,136.8126,8
1995,discus F,discus,F,1467,1830,1667.8889,1687,125.1279,9
1996,discus F,discus,F,1641,1900,1748.5556,1713,90.5589,9
1997,discus F,discus,F,1585,2125,1815.3333,1767,173.7975,9
1998,discus F,discus,F,1522,2175,1805.1111,1748,218.3918,9
1999,discus F,discus,F,1473,1846,1685.8889,1720,136.396,9
2000,discus F,discus,F,1601,1813,1702.8889,1687,76.663,9
2001,discus F,discus,F,1656,1953,1797.1111,1791,122.4431,9
2002,discus F,discus,F,1595,2088,1814.3333,1805,153.3587,9
2003,discus F,discus,F,1610,2092,1822.2222,1814,139.7814,9
2004,discus F,discus,F,1621,2001,1717.4444,1679,107.9692,9
2005,discus F,discus,F,1605,1899,1739.25,1793,94.7691,8
2006,discus F,discus,F,1537,1896,1706.8889,1735,98.1682,9
2007,discus F,discus,F,1596,1915,1775.7778,1828,115.2435,9
2008,discus F,discus,F,1544,2032,1773.4444,1791,145.555,9
2009,discus F,discus,F,1528,1957,1668.5714,1642,125.8433,7
2010,discus F,discus,F,1629,2049,1780.1111,1711,139.234,9
2011,discus F,discus,F,1507,1844,1672.1111,1648,113.37,9
2012,discus F,discus,F,1597,1870,1709.2222,1705,96.0368,9
2013,discus F,discus,F,1328,2085,1659.5833,1669,195.0181,12
2014,discus F,discus,F,1521,1963,1678.8333,1695,117.3753,12
2015,discus F,discus,F,1478,1941,1737.6364,1764,126.3518,11
2016,discus F,discus,F,1542,1969,1738.5,1731,116.8856,12
2017,discus F,discus,F,1457,2132,1819.5833,1803,201.1577,12
2018,discus F,discus,F,1537,2097,1803.25,1862,166.4933,12
2019,discus F,discus,F,1681,2062,1794.8333,1767,126.2153,12
2022,discus F,discus,F,1454,1885,1694.4545,1727,149.6635,11
2023,discus F,discus,F,1360,2010,1707.3333,1736,186.4941,12
2024,discus F,discus,F,1486,1906,1675.75,1656,121.2519,12
