Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1974,hj F,hj,F,58,68,62.3333,64,3.7118,9
1975,hj F,hj,F,61,68,64.3333,64,2.2111,9
1976,hj F,hj,F,64,70,66.3333,67,2.2608,9
1977,hj F,hj,F,65,69,66.6364,67,1.4316,11
1978,hj F,hj,F,64,70.25,66.6042,66,1.7484,12
1979,hj F,hj,F,66,69,67.4545,67,1.1571,11
1980,hj F,hj,F,66,72,68,67,2.0548,9
1981,hj F,hj,F,62,70,66.4444,66,2.4088,9
1982,hj F,hj,F,62,71,67,67,2.5226,11
1983,hj F,hj,F,66,73,68,68,2.1082,9
1984,hj F,hj,F,67,73.25,69.2813,70,1.918,8
1985,hj F,hj,F,64,74,67.4444,67,3.4996,9
1986,hj F,hj,F,62,70,66,66,2.2608,9
1987,hj F,hj,F,62,70,67.3,68,2.0518,10
1988,hj F,hj,F,64,70,67.1111,68,2.1315,9
1989,hj F,hj,F,64,72,67.6667,68,2.7487,9
1990,hj F,hj,F,62,68,66.1111,67,1.7916,9
1991,hj F,hj,F,62,71,67.2222,67,2.5724,9
1992,hj F,hj,F,62,70,65.9,66,2.7,10
1993,hj F,hj,F,62,70,67.125,68,2.7128,8
1994,hj F,hj,F,64,70,67.7778,68,2.0428,9
1995,hj F,hj,F,62,72,67.5556,68,2.7532,9
1996,hj F,hj,F,62,70,66,66,3,8
1997,hj F,hj,F,62,69,65.8889,66,1.9116,9
1998,hj F,hj,F,64,68,66.6667,66,1.3333,9
1999,hj F,hj,F,62,69,66.1111,66,1.9689,9
2000,hj F,hj,F,66,69,67.7778,68,1.0304,9
2001,hj F,hj,F,62,70,66.8889,68,2.1315,9
2002,hj F,hj,F,63,71,67.2222,67,3.3259,9
2003,hj F,hj,F,64,70,67.1111,66,1.9116,9
2004,hj F,hj,F,65,69.25,67.1389,67,1.3287,9
2005,hj F,hj,F,63,69,66.8889,67,2.0245,9
2006,hj F,hj,F,63,69,65.4444,65,1.8325,9
2007,hj F,hj,F,63,70,66.2222,65,2.4845,9
2008,hj F,hj,F,63,71,67.2222,69,2.7397,9
2009,hj F,hj,F,64,68,66,66,1.3333,9
2010,hj F,hj,F,64,70,66.6,66,1.8,10
2011,hj F,hj,F,62,68,64.5,64,1.6583,8
2012,hj F,hj,F,65,70,66.525,67,1.7834,10
2013,hj F,hj,F,63.75,72.75,66.9318,66,2.5251,11
2014,hj F,hj,F,64.25,70,66.7727,66,1.8963,11
2015,hj F,hj,F,61,69,65.6,67,2.2,10
2016,hj F,hj,F,63,69,65,65,1.7056,11
2017,hj F,hj,F,62,68,65.6667,66,2.2852,12
2018,hj F,hj,F,64,70,67.4545,68,1.7249,11
2019,hj F,hj,F,63,68,65,65,1.6833,12
2022,hj F,hj,F,64,66,64.6,64,0.9165,10
2023,hj F,hj,F,64,70,66.4545,66,2.3106,11
2024,hj F,hj,F,63,68,65.3333,65,1.748,12
