Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1974,lj F,lj,F,184.5,235,201.7222,199,14.9111,9
1975,lj F,lj,F,192.25,234.5,210.8333,211,12.2213,9
1976,lj F,lj,F,206.25,240.25,222.2222,221.75,10.42,9
1977,lj F,lj,F,216.25,237,225.075,224.25,5.9677,10
1978,lj F,lj,F,204,231,220.7778,222.5,8.6774,9
1979,lj F,lj,F,203.75,244.5,221.6,227,12.3502,10
1980,lj F,lj,F,215.25,248.25,225.5417,226.25,11.1106,6
1981,lj F,lj,F,181.75,226.25,215.0278,220,12.7793,9
1982,lj F,lj,F,209,238.5,225.5556,227.25,9.2344,9
1983,lj F,lj,F,199,234,219.7778,217.75,12.6642,9
1984,lj F,lj,F,204.75,249.75,229.4063,230.25,13.8378,8
1985,lj F,lj,F,193.5,229,214.275,216.25,9.8625,10
1986,lj F,lj,F,209.5,244.75,222.5278,221.25,9.9516,9
1987,lj F,lj,F,201,229.5,218.9063,221.5,9.5786,8
1988,lj F,lj,F,214,233.75,220.2222,217.75,6.3928,9
1989,lj F,lj,F,207,242.25,221.6111,221.25,10.4796,9
1990,lj F,lj,F,205.5,241.5,219.5556,215.25,11.0018,9
1991,lj F,lj,F,209.25,247.5,223.6667,224,10.1919,9
1992,lj F,lj,F,185.25,246.25,223,224.75,16.4173,9
1993,lj F,lj,F,212,264.5,228.7188,224.25,14.5974,8
1994,lj F,lj,F,212.5,235.5,224.9444,227.5,7.5155,9
1995,lj F,lj,F,213.5,248,229.0278,226.75,10.5774,9
1996,lj F,lj,F,217,243,229.3438,230.5,7.6984,8
1997,lj F,lj,F,210.25,240.75,225.25,226,8.7892,9
1998,lj F,lj,F,211,235.75,223.5625,224.75,7.0575,8
1999,lj F,lj,F,215.25,236.75,226.25,225.25,5.7807,9
2000,lj F,lj,F,204,235.25,220.7778,223,10.3551,9
2001,lj F,lj,F,223.25,245.5,235.7778,233,8.1806,9
2002,lj F,lj,F,212.75,236.25,224.4444,223.5,7.2589,9
2003,lj F,lj,F,212.75,248.25,227.5,226,11.3372,8
2004,lj F,lj,F,210.75,247.75,228.7222,226.75,11.5599,9
2005,lj F,lj,F,214.5,248.25,231.1667,234.25,10.0568,9
2006,lj F,lj,F,208,238.25,222.7222,219.75,11.6836,9
2007,lj F,lj,F,223.75,251.75,234.4167,227.75,10.8006,9
2008,lj F,lj,F,213.75,240.25,226.5556,228.5,8.2637,9
2009,lj F,lj,F,217,243.25,228.6667,228.25,8.7583,9
2010,lj F,lj,F,221,245.75,230.2222,229.75,7.6707,9
2011,lj F,lj,F,206,239.75,219.5556,218.25,10.5434,9
2012,lj F,lj,F,220.25,243,230.5,226.25,7.8537,9
2013,lj F,lj,F,203.25,249.25,225.7708,227,13.3816,12
2014,lj F,lj,F,196.25,244.75,224.3958,227,14.244,12
2015,lj F,lj,F,210.5,250,226.8864,224,11.7611,11
2016,lj F,lj,F,211,247.5,228.75,230.75,11.6998,12
2017,lj F,lj,F,216.25,265.25,230.0227,227.25,13.5128,11
2018,lj F,lj,F,199.25,237.75,221.5625,224.25,10.5189,12
2019,lj F,lj,F,201.5,248.5,228.8333,232.5,11.8327,12
2022,lj F,lj,F,202.75,248.5,229.25,231,11.6158,12
2023,lj F,lj,F,202.25,247.75,228.1042,235.25,14.9657,12
2024,lj F,lj,F,214.25,245.25,225.7273,223.25,8.5901,11
