Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,lj M,lj,M,254,254,254,254,0,1
1916,lj M,lj,M,254.5,257.25,255.875,257.25,1.375,2
1917,lj M,lj,M,262.5,262.5,262.5,262.5,0,1
1918,lj M,lj,M,251.25,251.25,251.25,251.25,0,1
1919,lj M,lj,M,240,240,240,240,0,1
1920,lj M,lj,M,254.5,261.5,258,261.5,3.5,2
1921,lj M,lj,M,260,268.5,264.25,268.5,4.25,2
1922,lj M,lj,M,265.75,269.25,267.5,269.25,1.75,2
1923,lj M,lj,M,278.25,278.25,278.25,278.25,0,1
1924,lj M,lj,M,267.5,267.5,267.5,267.5,0,1
1925,lj M,lj,M,259,260.5,259.75,260.5,0.75,2
1926,lj M,lj,M,269,269,269,269,0,1
1927,lj M,lj,M,261.5,266,263.75,266,2.25,2
1928,lj M,lj,M,281.25,281.25,281.25,281.25,0,1
1929,lj M,lj,M,255.25,271.25,264.25,264.5,6.3344,5
1930,lj M,lj,M,277.5,278.63,278.065,278.63,0.565,2
1931,lj M,lj,M,278.25,278.25,278.25,278.25,0,1
1932,lj M,lj,M,265,274.5,269.1667,268,3.9651,3
1933,lj M,lj,M,255.5,272,262.6,262,5.49,5
1934,lj M,lj,M,271,284.5,278.2,279.25,4.6136,5
1935,lj M,lj,M,268.5,276.25,272.2,271.5,2.8957,5
1936,lj M,lj,M,272,277.75,274.875,277.75,2.875,2
1937,lj M,lj,M,264.5,277,269.2,267.75,4.2172,5
1938,lj M,lj,M,268,283.125,275.8438,282.75,7.1148,4
1939,lj M,lj,M,267.5,288.5,277.05,275.5,8.8465,5
1940,lj M,lj,M,266.5,266.5,266.5,266.5,0,1
1941,lj M,lj,M,262,281.75,272.8,276.25,8.0303,5
1946,lj M,lj,M,266.25,266.25,266.25,266.25,0,1
1947,lj M,lj,M,260,274.5,265.45,261.5,5.8318,5
1948,lj M,lj,M,252,278.25,265.1258,268.38,8.4022,12
1950,lj M,lj,M,264.5,290.75,281.052,281.38,9.2855,5
1951,lj M,lj,M,256.25,269.75,264.35,266.75,4.8698,5
1952,lj M,lj,M,243.5,281.25,263.5833,266.75,11.9073,12
1953,lj M,lj,M,258,281,271.625,275.25,8.5254,6
1954,lj M,lj,M,258,304.25,271.6042,268,11.9746,12
1955,lj M,lj,M,272.25,279.5,277.2,277.75,2.6192,5
1956,lj M,lj,M,287.5,297,290.9,290.5,3.3489,5
1958,lj M,lj,M,271,294,280.0714,278.25,6.4914,7
1959,lj M,lj,M,250,281.75,267.75,276.75,12.0597,8
1960,lj M,lj,M,250,283.25,265.125,268.5,11.646,12
1961,lj M,lj,M,262.75,291,275.1818,279.5,9.5144,11
1962,lj M,lj,M,266.75,293.75,280.3125,280.75,7.6541,12
1963,lj M,lj,M,276,291.5,283.9063,285.75,5.5887,8
1964,lj M,lj,M,277,303,286.5278,285.75,7.4939,9
1965,lj M,lj,M,277.25,297.25,285.875,284.25,6.6262,8
1966,lj M,lj,M,278,303.25,288.9286,292.25,8.631,7
1967,lj M,lj,M,270.5,304.25,282.1389,282.25,9.406,9
1968,lj M,lj,M,253.25,295,281.6,286,11.6979,10
1969,lj M,lj,M,267.75,290.25,276.3056,275.75,5.9893,9
1970,lj M,lj,M,256.75,290.75,275.4773,276.25,10.357,11
1971,lj M,lj,M,269,315.75,286.25,282.5,13.6963,10
1972,lj M,lj,M,264.5,295,282.9,282.5,8.1947,10
1973,lj M,lj,M,262.25,304.5,280.5417,279.5,14.7669,12
1974,lj M,lj,M,256.5,291.5,280.8542,287.25,10.522,12
1975,lj M,lj,M,261.5,296.25,275.8611,275.5,10.8321,9
1976,lj M,lj,M,262.5,303.75,279.3333,278.25,11.8486,9
1977,lj M,lj,M,272.25,300.75,287.1389,288.5,9.8532,9
1978,lj M,lj,M,266.5,301.25,285.6111,283.5,11.0322,9
1979,lj M,lj,M,248,289.25,272.675,277.25,12.7073,10
1980,lj M,lj,M,270.5,280.75,277.25,277.25,3.1082,7
1981,lj M,lj,M,266.75,300.5,282.3214,281,10.5591,7
1982,lj M,lj,M,264.25,292.75,275.6111,272.25,9.0998,9
1983,lj M,lj,M,257.75,294.5,277.75,277.5,10.7186,9
1984,lj M,lj,M,266.25,299,278.375,276.5,9.7972,8
1985,lj M,lj,M,272,291.5,282.825,285,6.5394,10
1986,lj M,lj,M,245,286,273.3889,274.5,11.5429,9
1987,lj M,lj,M,266.25,294.5,278.3333,276,9.7824,9
1988,lj M,lj,M,272.5,293.5,279.0278,275.75,6.5239,9
1989,lj M,lj,M,277.25,316.75,288.6944,287.5,12.0334,9
1990,lj M,lj,M,266.25,303.25,281.2857,277.5,11.303,7
1991,lj M,lj,M,257,301.25,280.1667,275.25,14.261,9
1992,lj M,lj,M,259.75,289.5,273.3333,273.25,8.5285,9
1993,lj M,lj,M,253,288,274.2813,279.25,12.0003,8
1994,lj M,lj,M,266.5,285.25,277.625,280.75,6.8294,8
1995,lj M,lj,M,245.25,295.75,270.9167,272.5,14.8043,9
1996,lj M,lj,M,270,298.5,280.9167,276,9.2863,9
1997,lj M,lj,M,271.75,293.25,286.0833,286,6.3136,9
1998,lj M,lj,M,267.75,289,278.8333,277,7.1705,9
1999,lj M,lj,M,273.75,302,286.8056,287,9.0345,9
2000,lj M,lj,M,266.5,292.25,280.3611,281.25,7.8183,9
2001,lj M,lj,M,257.25,293.75,270.6389,269.75,10.2896,9
2002,lj M,lj,M,261.75,285.5,275.6944,274.75,7.51,9
2003,lj M,lj,M,261,305.75,281.5278,280,11.5617,9
2004,lj M,lj,M,265.75,291.75,276.1667,275,6.9432,9
2005,lj M,lj,M,252.25,272,263.3611,263.75,6.6511,9
2006,lj M,lj,M,262,286.5,277.8056,278.5,8.0128,9
