Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1995,pv F,pv,F,118,150,126.5,122,9.4736,8
1996,pv F,pv,F,126,145.25,132.4643,132,6.6981,7
1997,pv F,pv,F,124,144,136,136,5.6569,9
1998,pv F,pv,F,130,152,139.1111,136,7.6659,9
1999,pv F,pv,F,128,152.25,139.3611,138,7.2907,9
2000,pv F,pv,F,124,148,137.3333,140,7.4833,9
2001,pv F,pv,F,135,164,145.375,147,8.0613,8
2002,pv F,pv,F,141,159,146.3333,147,5.9628,9
2003,pv F,pv,F,140,161,148.5556,148,5.7176,9
2004,pv F,pv,F,131.75,152,140.9444,137.75,6.5773,9
2005,pv F,pv,F,138,160,147.3333,148,7.8316,9
2006,pv F,pv,F,135,159,147,147,6.9282,9
2007,pv F,pv,F,142,169,149,148,8.4853,9
2008,pv F,pv,F,132,150,141.3333,138,8.0554,9
2009,pv F,pv,F,136,160,143.0909,142,7.1536,11
2010,pv F,pv,F,141,162,146.1,147,6.5795,10
2011,pv F,pv,F,132,162,143,144,7.5498,12
2012,pv F,pv,F,136.25,160.25,150.15,156.25,7.656,10
2013,pv F,pv,F,137.75,159.75,147.875,150,7.2399,10
2014,pv F,pv,F,136.25,156.25,142.9,142,6.051,10
2015,pv F,pv,F,135,159,146.5,147,8.2916,12
2016,pv F,pv,F,140,170,151.3333,146,10.7497,9
2017,pv F,pv,F,144,168,151.5,150,7.3993,12
2018,pv F,pv,F,138,150,144.5455,144,4.7552,11
2019,pv F,pv,F,140,160,151.0909,152,5.6802,11
2022,pv F,pv,F,143,165,152.5,149,8.0467,12
2023,pv F,pv,F,143,161,150.6364,149,5.8972,11
2024,pv F,pv,F,143,165,151.8,153,6.6453,10
