Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,shot M,shot,M,554.38,554.38,554.38,554.38,0,1
1916,shot M,shot,M,568.25,568.25,568.25,568.25,0,1
1917,shot M,shot,M,573.25,573.25,573.25,573.25,0,1
1918,shot M,shot,M,534,534,534,534,0,1
1919,shot M,shot,M,531,531,531,531,0,1
1920,shot M,shot,M,585,585,585,585,0,1
1921,shot M,shot,M,624,624,624,624,0,1
1922,shot M,shot,M,664.25,664.25,664.25,664.25,0,1
1923,shot M,shot,M,576.5,576.5,576.5,576.5,0,1
1924,shot M,shot,M,595.25,595.25,595.25,595.25,0,1
1925,shot M,shot,M,590,590,590,590,0,1
1926,shot M,shot,M,588.25,588.25,588.25,588.25,0,1
1928,shot M,shot,M,586.5,586.5,586.5,586.5,0,1
1929,shot M,shot,M,578.5,641.5,603.6,602,21.9986,5
1930,shot M,shot,M,632.75,632.75,632.75,632.75,0,1
1931,shot M,shot,M,616.25,634,626,627,6.525,5
1932,shot M,shot,M,622,642,632,642,10,2
1933,shot M,shot,M,579.5,651,610.8,602,25.843,5
1934,shot M,shot,M,609,670,630.05,626,21.8222,5
1935,shot M,shot,M,665.25,665.25,665.25,665.25,0,1
1936,shot M,shot,M,653.25,653.25,653.25,653.25,0,1
1937,shot M,shot,M,610,668.75,632.1667,633,19.3884,6
1938,shot M,shot,M,591,665.75,618.95,595.75,32.388,5
1939,shot M,shot,M,596.5,649,618.9,608.5,19.0772,5
1940,shot M,shot,M,605.5,652.25,628.875,652.25,23.375,2
1941,shot M,shot,M,608.25,628.25,616.45,616.5,6.9739,5
1946,shot M,shot,M,713.75,713.75,713.75,713.75,0,1
1947,shot M,shot,M,607.75,646.75,627.15,630.5,16.2131,5
1948,shot M,shot,M,564,715.25,627.5833,625,37.0961,12
1950,shot M,shot,M,572.5,677.5,640.75,647,33.2766,6
1951,shot M,shot,M,612,710.5,663.5833,658.5,31.3906,6
1952,shot M,shot,M,609.5,729.88,656.6575,650.75,39.0939,12
1953,shot M,shot,M,667.5,727.25,688.1,677.25,20.9879,5
1954,shot M,shot,M,622.5,715.13,663.4967,668.5,29.8079,12
1955,shot M,shot,M,663,712.5,693.85,705.75,19.4484,5
1956,shot M,shot,M,684,765.5,712.23,714.5,28.0487,6
1959,shot M,shot,M,591.5,692,651.2778,669.75,36.3239,9
1960,shot M,shot,M,637.25,727,680.4792,667,29.3161,12
1961,shot M,shot,M,608.75,771.5,691.7292,682.5,48.152,12
1962,shot M,shot,M,692.5,746.25,718.6458,723,19.2377,12
1963,shot M,shot,M,684.75,760.75,710.5938,717,24.0436,8
1964,shot M,shot,M,707,751.25,724.2083,722,13.8462,6
1965,shot M,shot,M,687.5,767.25,720.2292,723,31.1139,12
1966,shot M,shot,M,675,803,727.9773,730.75,39.2956,11
1967,shot M,shot,M,656,783.25,722.1,729.5,42.9114,10
1968,shot M,shot,M,675.25,767,716.6591,716.5,26.3332,11
1969,shot M,shot,M,662.5,734,706.4722,704,21.5666,9
1970,shot M,shot,M,679.5,764.25,723.325,738.75,28.6033,10
1971,shot M,shot,M,686,806.5,728.875,717,35.5565,12
1972,shot M,shot,M,682.5,787.5,722.5909,720.25,30.599,11
1973,shot M,shot,M,663.5,807.25,720.25,711,45.9861,12
1974,shot M,shot,M,683.5,766.5,714.2273,710,23.1957,11
