Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1900,200m-men,22.2,22.2,22.2,22.2,0,1
1904,200m-men,21.6,21.9,21.75,21.9,0.15,2
1908,200m-men,22.6,22.9,22.7,22.7,0.1225,4
1912,200m-men,21.7,22.3,22.0333,22.2,0.2427,6
1920,200m-men,22,22.3,22.1667,22.2,0.1247,6
1924,200m-men,21.6,22.3,21.9167,22,0.2267,6
1928,200m-men,21.8,22.2,21.9667,21.9,0.1374,6
1932,200m-men,21.2,21.9,21.5167,21.5,0.2115,6
1936,200m-men,20.7,21.9,21.3667,21.6,0.3902,6
1948,200m-men,21.1,21.8,21.3,21.3,0.238,6
1952,200m-men,20.7,21.3,20.9667,21,0.2211,6
1956,200m-men,20.6,21.3,20.9667,21.1,0.256,6
1960,200m-men,20.5,20.9,20.7167,20.8,0.1344,6
1964,200m-men,20.3,20.9,20.675,20.8,0.1854,8
1968,200m-men,19.8,20.6,20.3,20.5,0.3041,8
1972,200m-men,20,21.05,20.4588,20.55,0.3001,8
1976,200m-men,20.23,79,27.9262,20.84,19.3065,8
1980,200m-men,20.19,21.19,20.5213,20.5,0.3289,8
1984,200m-men,19.8,20.85,20.3475,20.51,0.3203,8
1988,200m-men,19.75,20.58,20.1938,20.39,0.301,8
1992,200m-men,20.01,20.8,20.4363,20.5,0.2457,8
1996,200m-men,19.32,20.48,20.0087,20.17,0.3536,8
2000,200m-men,20.09,20.49,20.2475,20.23,0.1181,8
2004,200m-men,19.79,20.64,20.1414,20.14,0.2425,7
2008,200m-men,19.3,20.59,20.075,20.22,0.4112,6
2012,200m-men,19.32,20.69,19.9937,20,0.4539,8
2016,200m-men,19.78,20.43,20.1275,20.13,0.1726,8
2020,200m-men,19.62,20.39,19.9688,19.98,0.2617,8
2024,200m-men,19.46,20.53,19.9462,20.02,0.3195,8
