Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1900,discus-throw-men,34.5,35.14,34.7467,34.6,0.2811,3
1908,discus-throw-men,39.45,40.89,40.3467,40.7,0.6388,3
1912,discus-throw-men,42.28,45.21,43.27,42.32,1.3719,3
1920,discus-throw-men,39.41,44.685,42.06,42.13,1.8637,6
1924,discus-throw-men,42.49,46.155,44.3742,44.83,1.1699,6
1928,discus-throw-men,44.17,47.32,46.0817,47.1,1.2309,6
1932,discus-throw-men,46.38,47.98,47.34,47.85,0.6378,4
1936,discus-throw-men,43.83,50.48,47.1054,47.22,1.9514,13
1948,discus-throw-men,44.05,52.78,47.74,47.33,2.7682,12
1952,discus-throw-men,43.4,55.03,49.3388,48.99,3.0359,17
1956,discus-throw-men,46,56.36,51.1569,51.69,2.8476,16
1960,discus-throw-men,49.21,59.18,53.6909,53.36,2.3238,22
1964,discus-throw-men,51.96,61,56.4392,57.06,2.998,12
1968,discus-throw-men,57.68,64.78,60.5117,59.46,2.2046,12
1972,discus-throw-men,55.86,64.4,60.6057,60.6,2.5931,14
1976,discus-throw-men,55.86,67.5,62.0733,61.98,3.1775,15
1980,discus-throw-men,60.24,66.64,63.7967,64.04,2.1878,12
1984,discus-throw-men,60.3,66.6,64.0036,64.72,1.9456,11
1988,discus-throw-men,60.88,68.82,64.805,65.8,2.4783,12
1992,discus-throw-men,59.96,65.12,62.2183,62.64,1.8032,12
1996,discus-throw-men,56.3,69.4,63.8,64.62,3.1579,12
2000,discus-throw-men,59.87,69.3,65.3208,65.8,2.6894,12
2004,discus-throw-men,57.84,69.89,63.6855,64.33,3.4107,11
2008,discus-throw-men,61.38,68.82,65.17,65.88,2.427,12
2012,discus-throw-men,61.03,68.27,65.3892,65.85,2.437,12
2016,discus-throw-men,60.66,68.37,64.5725,64.95,2.3774,12
2020,discus-throw-men,61.18,68.9,64.7292,64.11,2.4297,12
2024,discus-throw-men,61.89,70,66.9217,67.41,2.3167,12
