Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1896,high-jump-men,1.55,1.81,1.652,1.65,0.0873,5
1900,high-jump-men,1.5,1.655,1.56,1.525,0.0679,3
1904,high-jump-men,1.35,1.6,1.45,1.44,0.082,5
1908,high-jump-men,1.52,1.57,1.5475,1.55,0.0179,4
1912,high-jump-men,1.5,1.63,1.5467,1.55,0.0522,6
1920,high-jump-men,1.7,1.936,1.8197,1.85,0.07,12
1924,high-jump-men,1.83,1.98,1.8856,1.88,0.0506,9
1928,high-jump-men,1.7,1.94,1.8544,1.88,0.0644,18
1932,high-jump-men,1.8,1.97,1.9007,1.9,0.0569,14
1936,high-jump-men,1.8,2.03,1.9027,1.9,0.065,22
1948,high-jump-men,1.8,1.98,1.8878,1.9,0.0595,18
1952,high-jump-men,1.8,2.04,1.8879,1.9,0.0702,28
1956,high-jump-men,1.86,2.12,1.9768,1.96,0.0711,22
1960,high-jump-men,1.95,2.16,2.0518,2.03,0.0607,17
1964,high-jump-men,1.9,2.18,2.08,2.09,0.0625,20
1968,high-jump-men,2.06,2.24,2.1369,2.14,0.0534,13
1972,high-jump-men,2.05,2.23,2.1479,2.15,0.0431,19
1976,high-jump-men,2.1,2.25,2.1757,2.18,0.0422,14
1980,high-jump-men,2.1,2.36,2.2244,2.21,0.0641,16
1984,high-jump-men,2.15,2.35,2.283,2.29,0.0529,10
1988,high-jump-men,2.15,2.38,2.3031,2.31,0.0604,16
1992,high-jump-men,2.24,2.34,2.2971,2.31,0.0383,14
1996,high-jump-men,2.25,2.39,2.3043,2.32,0.044,14
2000,high-jump-men,2.2,2.35,2.2954,2.32,0.0391,13
2004,high-jump-men,2.25,2.36,2.3067,2.32,0.0342,12
2008,high-jump-men,2.2,2.36,2.28,2.29,0.0563,12
2012,high-jump-men,2.2,2.33,2.2669,2.29,0.0365,13
2016,high-jump-men,2.2,2.38,2.2913,2.29,0.0519,15
2020,high-jump-men,2.24,2.37,2.3192,2.33,0.0412,13
2024,high-jump-men,2.17,2.36,2.2825,2.31,0.0611,12
