Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1904,long-jump-men,3.47,3.47,3.47,3.47,0,1
1908,long-jump-men,3.22,3.33,3.2567,3.22,0.0519,3
1912,long-jump-men,3.28,3.36,3.3267,3.34,0.034,3
1920,long-jump-men,6.73,7.15,6.9817,7.08,0.1441,6
1924,long-jump-men,6.89,7.445,7.1214,7.07,0.1933,7
1928,long-jump-men,7.32,7.73,7.4617,7.4,0.1458,6
1932,long-jump-men,7.49,7.49,7.49,7.49,0,1
1936,long-jump-men,6.18,8.06,7.3919,7.34,0.4216,16
1948,long-jump-men,6.735,7.825,7.2014,7.07,0.3351,11
1952,long-jump-men,6.4,7.57,7.1336,7.14,0.2967,11
1956,long-jump-men,6.57,7.83,7.3042,7.3,0.3008,12
1960,long-jump-men,7.25,8.12,7.6769,7.66,0.2929,13
1964,long-jump-men,7.09,8.07,7.4936,7.34,0.3553,11
1968,long-jump-men,7.44,8.9,7.9606,7.94,0.3219,16
1972,long-jump-men,7.58,8.24,7.8867,7.96,0.2103,12
1976,long-jump-men,7.61,8.35,7.9182,7.89,0.202,11
1980,long-jump-men,7.49,8.54,8.0491,8.1,0.2561,11
1984,long-jump-men,7.57,8.54,7.9575,7.97,0.2785,12
1988,long-jump-men,7.54,8.72,8.0317,8,0.3146,12
1992,long-jump-men,7.61,8.67,8.0483,8.04,0.3327,12
1996,long-jump-men,7.72,8.5,8.0677,8.07,0.2129,13
2000,long-jump-men,7.67,8.55,8.125,8.15,0.2483,12
2004,long-jump-men,7.94,8.59,8.2175,8.24,0.1878,12
2008,long-jump-men,7.8,8.34,8.069,8.16,0.179,10
2012,long-jump-men,7.7,8.31,7.995,8.07,0.1753,12
2016,long-jump-men,7.82,8.38,8.0992,8.1,0.1881,12
2020,long-jump-men,7.62,8.41,8.04,8.1,0.2513,12
2024,long-jump-men,7.82,8.48,8.0892,8.07,0.2142,12
