Year,Place,Name,Country,Mark
1928,1,Percy WILLIAMS,CAN,21.800
1928,2,Walter RANGELEY,GBR,21.900
1928,3,Helmuth KÖRNIG,GER,21.900
1928,4,Jackson SCHOLZ,USA,21.900
1928,5,John R. FITZPATRICK,CAN,22.100
1928,6,Jakob SCHÜLLER,GER,22.200
1928,7,Dragoš STEVANOVIĆ,YUG,
1928,8,Rodolfo WAGNER,CHI,
1928,9,István SUGÁR,HUN,
1928,10,José Eduardo BARRIENTOS SCHWEYER,CUB,
1928,11,Fernando MUNAGORRI ALCORTA,ESP,
1928,12,Robert CODRONS,LUX,
1928,13,Enrique DE CHAVARRI Y RODRIGUEZ-CODES,ESP,
1928,14,Wim Hendrik HENNINGS,NED,
1928,15,István RAGGAMBI,HUN,
1928,16,Reijo Edvard HALME,FIN,
1928,17,Willy TSCHOPP,SUI,
1928,18,Vasilios STAVRINOS,GRE,
1928,19,Fritz KROGH NIELSEN,NOR,
1928,20,Friedrich-wilhelm WICHMANN,GER,
1928,21,Eduardo ALBE,ARG,
1928,22,Janos PAIZS,HUN,
1928,23,Arthur PORRITT,NZL,
1928,24,Emmanuel GNEFTOS,GRE,
1928,25,Georges SCHMIT,LUX,
