Year,Place,Name,Country,Mark
1928,1,Lemuel Clarence HOUSER,USA,47.32
1928,2,Antero Lauro KIVI,FIN,47.23
1928,3,James Hunt CORSON,USA,47.10
1928,4,Harald STENERUD,NOR,45.80
1928,5,John Franklin ANDERSON,USA,44.87
1928,6,Eino Johannes Evert KENTTÄ,FIN,44.17
1928,7,Georgios ZAKHAROPOULOS,GRE,
1928,8,Léon COURTÉJAIRE,FRA,
1928,9,António CARDOSO,POR,
1928,10,Paavo Ilmari YRJÖLÄ,FIN,
1928,11,Pál TOTH,HUN,
1928,12,Daniel PIERRE,FRA,
1928,13,Vladimir MANOJILOVIĆ,YUG,
1928,14,Alfonso DE GORTARI,MEX,
1928,15,Vilhelms ROZENBERGS,LAT,
1928,16,A. NOLLEN,NED,
