Year,Place,Name,Country,Mark
1928,1,Edward Barton HAMM,USA,7.73
1928,2,Silvio M. CATOR,HAI,7.58
1928,3,Alfred Hilborn BATES,USA,7.40
1928,4,Willi MEIER,GER,7.39
1928,5,Erich KOCHERMANN,GER,7.35
1928,6,Hannes DE BOER,NED,7.32
1928,7,Anthony William WINTER,AUS,
1928,8,Kaarlo Werner JARVINEN,FIN,
1928,9,Walter HARRISON,AUS,
1928,10,Sidney ATKINSON,RSA,
1928,11,Robert LOISEAU,FRA,
1928,12,Akiles Eero Johannes JÄRVINEN,FIN,
1928,13,Pierre DINARD,FRA,
1928,14,Stelios BENARDIS,GRE,
1928,15,Elemer SOMFAY,HUN,
