Year,Place,Name,Country,Mark
2004,1,Kelly HOLMES,GBR,03:57.900
2004,2,Tatyana TOMASHOVA,RUS,03:58.120
2004,3,Maria CIONCAN,ROU,03:58.390
2004,4,Natalya YEVDOKIMOVA,RUS,03:59.050
2004,5,Daniela YORDANOVA,BUL,03:59.100
2004,6,Lidia CHOJECKA,POL,03:59.270
2004,7,Anna JAKUBCZAK-PAWELEC,POL,04:00.150
2004,8,Elvan ABEYLEGESSE,TUR,04:00.670
2004,9,Carmen DOUMA-HUSSAR,CAN,04:02.310
2004,10,Natalia RODRIGUEZ,ESP,04:03.010
2004,11,Olga YEGOROVA,RUS,04:05.650
2004,12,Hasna BENHASSI,MAR,04:12.900
2004,13,Bouchra GHÉZIELLE,MAR,
2004,14,Rosa SAUL,ANG,
2004,15,Nouria MERAH-BENIDA,ALG,
