Year,Place,Name,Country,Mark
2004,1,Hicham EL GUERROUJ,MAR,13:14.390
2004,2,Kenenisa BEKELE,ETH,13:14.590
2004,3,Eliud KIPCHOGE,KEN,13:15.100
2004,4,Gebre Egziabher GEBREMARIAM,ETH,13:15.350
2004,5,Dejene BERHANU,ETH,13:16.920
2004,6,John KIBOWEN,KEN,13:18.240
2004,7,Zersenay TADESSE,ERI,13:24.310
2004,8,Craig MOTTRAM,AUS,13:25.700
2004,9,Hicham BELLANI,MAR,13:31.810
2004,10,Ali SAIDI-SIEF,ALG,13:32.570
2004,11,Tim BROE,USA,13:33.060
2004,12,Alistair Ian CRAGG,IRL,13:43.060
2004,13,Abderrahim GOUMRI,MAR,13:47.270
2004,14,Samir MOUSSAOUI,ALG,14:02.010
2004,15,Abraham CHEBII,KEN,
