Year,Place,Name,Country,Mark
1996,1,Junxia WANG,CHN,14:59.880
1996,2,Pauline KONGA,KEN,15:03.490
1996,3,Roberta BRUNET,ITA,15:07.520
1996,4,Michiko SHIMIZU,JPN,15:09.050
1996,5,Paula RADCLIFFE,GBR,15:13.110
1996,6,Elena ROMANOVA,RUS,15:14.090
1996,7,Elena FIDATOV,ROU,15:16.710
1996,8,Rose CHERUIYOT,KEN,15:17.330
1996,9,Lynn A. JENNINGS,USA,15:17.500
1996,10,Amy RUDOLPH,USA,15:19.770
1996,11,Sara WEDLUND,SWE,15:22.980
1996,12,Ayelech WORKU,ETH,15:28.810
1996,13,Anne HARE,NZL,15:29.110
1996,14,Anita WEYERMANN,SUI,15:44.400
1996,15,Sonia O'SULLIVAN,IRL,
1996,16,Mary SLANEY,USA,
1996,17,Carolyn Jeni SCHUWALOW,AUS,
1996,18,Gwen GRIFFITHS,RSA,
