Year,Place,Name,Country,Mark
1996,1,Stefka KOSTADINOVA,BUL,2.05
1996,2,Niki BAKOGIANNI,GRE,2.03
1996,3,Inha BABAKOVA,UKR,2.01
1996,4,Yelena GULYAYEVA,RUS,1.99
1996,5,Alina ASTAFEI,GER,1.96
1996,6,Nele ZILINSKIENE,LTU,1.96
1996,7,Tatyana MOTKOVA,RUS,1.96
1996,8,Hanne HAUGLAND,NOR,1.96
1996,9,Britta BILAC,SLO,1.93
1996,10,Tisha WALLER,USA,1.93
1996,11,Zuzana HLAVONOVA,CZE,1.93
1996,12,Olga BOLSOVA,MDA,1.93
1996,13,Svetlana ZALEVSKAYA,KAZ,1.93
1996,14,Antonella BEVILACQUA,ITA,
1996,15,Coralea CLINE,IVB,
1996,16,Sigrid KIRCHMANN,AUT,
