Year,Place,Name,Country,Mark
1992,1,Fermin CACHO RUIZ,ESP,03:40.120
1992,2,Rachid EL BASIR,MAR,03:40.620
1992,3,Mohammed SULEIMAN,QAT,03:40.690
1992,4,Joseph CHESIRE,KEN,03:41.120
1992,5,Jonah BIRIR,KEN,03:41.270
1992,6,Jens-Peter HEROLD,GER,03:41.530
1992,7,Nourredine MORCELI,ALG,03:41.700
1992,8,Jim SPIVEY,USA,03:41.740
1992,9,Graham Colin HOOD,CAN,03:42.550
1992,10,David KIBET,KEN,03:42.620
1992,11,Manuel PANCORBO CHICA,ESP,03:43.510
1992,12,Azat RAKIPOV,EUN,03:44.660
1992,13,Said AOUITA,MAR,
