Year,Place,Name,Country,Mark
1992,1,Hassiba BOULMERKA,ALG,03:55.300
1992,2,Lyudmila ROGACHOVA,EUN,03:56.910
1992,3,Yunxia QU,CHN,03:57.080
1992,4,Tetyana SAMOLENKO,EUN,03:57.920
1992,5,Li LIU,CHN,04:00.200
1992,6,Maite ZUNIGA DOMINGUEZ,ESP,04:00.590
1992,7,Malgorzata RYDZ,POL,04:01.910
1992,8,Yekaterina PODKOPAYEVA,EUN,04:02.030
1992,9,Maria MUTOLA,MOZ,04:02.600
1992,10,Patti Sue PLUMER,USA,04:03.420
1992,11,Elena FIDATOV,ROU,04:06.440
1992,12,Doina BESLIU-MELINTE,ROU,
1992,13,Janeth CAIZALITIN,ECU,
1992,14,Paivi TIKKANEN,FIN,
