Year,Place,Name,Country,Mark
2008,1,Tirunesh DIBABA,ETH,15:41.400
2008,2,Meseret DEFAR,ETH,15:44.120
2008,3,Sylvia Jebiwott KIBET,KEN,15:44.960
2008,4,Vivian CHERUIYOT,KEN,15:46.320
2008,5,Liliya SHOBUKHOVA,RUS,15:46.620
2008,6,Alemitu BEKELE,TUR,15:48.480
2008,7,Meselech MELKAMU,ETH,15:49.030
2008,8,Kara GOUCHER,USA,15:49.390
2008,9,Shalane FLANAGAN,USA,15:50.800
2008,10,Priscah Jepleting CHERONO,KEN,15:51.780
2008,11,Gulnara GALKINA-SAMITOVA,RUS,15:56.970
2008,12,Fei XUE,CHN,16:09.840
2008,13,Jennifer RHINES,USA,16:34.630
2008,14,Megan METCALFE,CAN,17:06.820
2008,15,Elvan ABEYLEGESSE,TUR,
2008,16,Jo PAVEY,GBR,
