Year,Place,Name,Country,Mark
2008,1,Valerie ADAMS,NZL,20.56
2008,2,Misleydis GONZALEZ,CUB,19.50
2008,3,Lijiao GONG,CHN,19.20
2008,4,Anna OMAROVA,RUS,19.08
2008,5,Nadine KLEINERT,GER,19.01
2008,6,Meiju LI,CHN,19.00
2008,7,Olga IVANOVA,RUS,18.44
2008,8,Mailin VARGAS,CUB,18.28
2008,9,Christina SCHWANITZ,GER,18.27
2008,10,Jillian CAMARENA-WILLIAMS,USA,18.24
2008,11,Chiara ROSA,ITA,18.22
2008,12,Ling LI,CHN,17.94
2008,13,Michelle CARTER,USA,17.74
2008,14,Natallia KHARANEKA-MIKHNEVICH,BLR,
2008,15,Nadezhda OSTAPCHUK,BLR,
