Year,Place,Name,Country,Mark
1936,1,William Kenneth CARPENTER,USA,50.48
1936,2,Gordon Glover DUNN,USA,49.36
1936,3,Giorgio OBERWEGER,ITA,49.23
1936,4,Reidar SÖRLIE,NOR,48.77
1936,5,Willy SCHRÖDER,GER,47.93
1936,6,Nikolaos SYLLAS,GRE,47.75
1936,7,Gunnar BERGH,SWE,47.22
1936,8,Ake HEDVALL,SWE,46.20
1936,9,Johann WOTAPEK,AUT,46.05
1936,10,Helge SIVERTSEN,NOR,45.89
1936,11,Hans FRITSCH,GER,45.10
1936,12,Jules NOEL,FRA,44.56
1936,13,Walter Donogan WOOD,USA,43.83
1936,14,Ball-Chow CHEN,CHN,
1936,15,Felix ERAUZQUIN ERAUZQUIN,ESP,
1936,16,André FITTE,FRA,
1936,17,Ioannis SERAIDARIS,GRE,
1936,18,Istvan DONOGAN,HUN,
1936,19,Eiichiro MATSUNO,JPN,
1936,20,Julius VIKTORÝ,TCH,
1936,21,Nikola VUČEVIĆ,YUG,
