Year,Place,Name,Country,Mark
1936,1,Ibolya CSAK,HUN,1.60
1936,2,Dorothy Beatrice J. ODAM-TYLER,GBR,1.60
1936,3,Elfriede KAUN,GER,1.60
1936,4,Dora RATJEN,GER,1.58
1936,5,Marguerite NICOLAS,FRA,1.58
1936,6,Fanny BLANKERS-KOEN,NED,1.55
1936,7,Annette Joan ROGERS,USA,1.55
1936,8,Doris Jessie CARTER,AUS,1.55
1936,9,Alice Jean ARDEN,USA,1.50
1936,10,Kathlyn KELLY,USA,1.50
1936,11,Margaret Mary BELL-GIBSON,CAN,1.50
1936,12,Wanda NOWAK,AUT,1.50
1936,13,Helen (Nellie) CARRINGTON,GBR,1.50
1936,14,Catherine STEVENS,BEL,1.40
1936,15,Jantina Maria KOOPMANS,NED,1.40
1936,16,Junko NISHIDA,JPN,1.40
1936,17,Irja Salli Maria LIPASTI,FIN,1.30
1936,18,Alice LEISSNER,FRA,
1936,19,Ismene LANITIS,GRE,
1936,20,Zulejca STEFANINI,YUG,
