Year,Place,Name,Country,Mark
1952,1,Lindy REMIGINO,USA,10.400
1952,2,Herbert MCKENLEY,JAM,10.400
1952,3,Emmanuel Mcdonald BAILEY,GBR,10.400
1952,4,Finis Dean SMITH,USA,10.400
1952,5,Vladimir SUKHAREV,URS,10.500
1952,6,John Frank TRELOAR,AUS,10.500
1952,7,Noel FLANAGAN,IRL,
1952,8,K. K. KORSAH,GHA,
1952,9,Bo ÅHLEN,SWE,
1952,10,Radovan PEJIN,YUG,
1952,11,Louis CROWE,IRL,
1952,12,Roy FEARON,GUA,
1952,13,Morris Joseph CUROTTA,AUS,
1952,14,Raymond Henry WEINBERG,AUS,
1952,15,Heinz FÜTTERER,GER,
1952,16,Les LAING,JAM,
1952,17,Neville Graham PRICE,RSA,
