Year,Place,Name,Country,Mark
1952,1,Esther Cornelia BRAND,RSA,1.67
1952,2,Sheila LERWILL,GBR,1.65
1952,3,Aleksandra CHUDINA,URS,1.63
1952,4,Thelma Elizabeth HOPKINS,GBR,1.58
1952,5,Olga MODRAKOVA-DAVIDOVA,TCH,1.58
1952,6,Feodora SCHENK,AUT,1.58
1952,7,Nina KOSOVA,URS,1.58
1952,8,Dorothy Beatrice J. ODAM-TYLER,GBR,1.58
1952,9,Gunhild LARKING,SWE,1.55
1952,10,Alice Ann Doreen WHITTY,CAN,1.55
1952,11,Galina GANEKER,URS,1.55
1952,12,Deyse DE CASTRO,BRA,1.50
1952,13,Dawn Everald JOSEPHS,CAN,1.50
1952,14,Solveig ERICSSON,SWE,1.50
1952,15,Seija Tuulikki PONTINEN,FIN,1.50
1952,16,Siska Sinikka HEIKKILA,FIN,1.40
1952,17,Tamar METAL,ISR,1.40
1952,18,Berta SABLATNIG,AUT,
1952,19,Kathleen May RUSSELL,JAM,
