Year,Place,Name,Country,Mark
1952,1,Yvette Winefred WILLIAMS,NZL,6.24
1952,2,Aleksandra CHUDINA,URS,6.14
1952,3,Shirley CAWLEY,GBR,5.92
1952,4,Irmgard SCHMELZER-KIRCHHOFF,GER,5.90
1952,5,Willemina Maria LUST,NED,5.81
1952,6,Nina CHURKINA,URS,5.81
1952,7,Mabel Marie LANDRY,USA,5.75
1952,8,Verna JOHNSON,AUS,5.74
1952,9,Maire Alexandra OSTERDAHL,FIN,5.73
1952,10,Olga GYARMATI,HUN,5.67
1952,11,Valentina LITUEVA,URS,5.65
1952,12,Elzbieta DUNSKA-KRZESINSKA,POL,5.65
1952,13,Adriana MILLARD PACHECO,CHI,5.59
1952,14,Elfriede VON NITZSCH,GER,5.57
1952,15,Helene (Leni) HOFKNECHT,GER,5.55
1952,16,Ayako YOSHIKAWA,JPN,5.54
1952,17,Dawn Everald JOSEPHS,CAN,5.47
1952,18,Gladys Huri Ivonne ERBETTA,ARG,5.47
1952,19,Constance Lydia WILLOUGHBY,GBR,5.44
1952,20,Greta MAGNUSSON,SWE,5.43
1952,21,Wanda DOS SANTOS,BRA,5.36
1952,22,Thelma Ann Chr. JONES,BER,5.33
1952,23,Yvonne Alice CURTET-CHABOT,FRA,5.28
1952,24,Helena CARDOZO DE MENEZES,BRA,4.98
1952,25,Barbara Pearl JONES,USA,
