Year,Place,Name,Country,Mark
1952,1,Adhemar FERREIRA DA SILVA,BRA,16.22
1952,2,Leonid SHCHERBAKOV,URS,15.98
1952,3,Arnoldo DEVONISH,VEN,15.52
1952,4,Walter Stuart ASHBAUGH,USA,15.39
1952,5,Rune NILSEN,NOR,15.13
1952,6,Yoshio IIMURO,JPN,14.99
1952,7,Geraldo DE OLIVEIRA,BRA,14.95
1952,8,Roger NORMAN,SWE,14.89
1952,9,Reino Jaakko Matias HILTUNEN,FIN,14.85
1952,10,Zygfryd WEINBERG,POL,14.76
1952,11,James Eastman GERHARDT,USA,14.69
1952,12,Rui RAMOS,POR,14.69
1952,13,Preben Kaj LARSEN,DEN,14.62
1952,14,Tadashi YAMAMOTO,JPN,14.57
1952,15,Arne AHMAN,SWE,14.05
1952,16,Vladimir FILIPPOV,URS,
1952,17,Mikhail MIKHAIL,GRE,
1952,18,Óscar SIMÓN,ESP,
1952,19,Hector ROMAN SELVA,PUR,
1952,20,Neville Graham PRICE,RSA,
1952,21,Kamtorn SNIDVONGS,THA,
