Year,Place,Name,Country,Mark
1908,1,Melvin SHEPPARD,USA,04:03.400
1908,2,Harold WILSON,GBR,4:03.6
1908,3,Norman HALLOWS,GBR,4:04.0
1908,4,Jack TAIT,CAN,4:06.8
1908,5,Ian Frank FAIRBAIRN-CRAWFORD,GBR,4:07.6
1908,6,Joseph Edmund DEAKIN,GBR,4:07.9
1908,7,Vincent LONEY,GBR,
1908,8,James P. SULLIVAN,USA,
1908,9,Roger DAUBIN,SUI,
1908,10,Imre VERES,HUN,
1908,11,John BLANKENAGEL,USA,
1908,12,Guy HASKINS,AUS,
1908,13,Floyd ROWE,USA,
1908,14,Marcel QUILBEUF,FRA,
1908,15,W. A. SHEE,RSA,
1908,16,Kálmán BECSKE,HUN,
1908,17,George HOYNES,USA,
1908,18,George B. BLAKE,AUS,
1908,19,Felix KWIETON,AUT,
1908,20,Donald Smith BUDDO,CAN,
1908,21,George Newcomen MORPHY,GBR,
1908,22,Arthur James ROBERTSON,GBR,
1908,23,Antal LOVAS,HUN,
1908,24,Hendrik J.W. VAN DER WAL,NED,
1908,25,Charles A. HEFFERON,RSA,
1908,26,Carl Nicanor ANDERSSON,SWE,
1908,27,F.Gösta DANIELSON,SWE,
1908,28,Kristian HELLSTRÖM,SWE,
1908,29,J. Georg PETERSSON,SWE,
1908,30,Johan Fritiof SVANBERG,SWE,
1908,31,Gale Albert DULL,USA,
1908,32,Lloyd Peniston JONES,USA,
1908,33,Herbert Lawrence TRUBE,USA,
