Year,Place,Name,Country,Mark
1948,1,Adolfo CONSOLINI,ITA,52.78
1948,2,Giuseppe TOSI,ITA,51.78
1948,3,Fortune Edward GORDIEN,USA,50.77
1948,4,Ivar RAMSTAD,NOR,49.21
1948,5,Ferenc KLICS,HUN,48.21
1948,6,Karl Veikko Valdemar NYQVIST,FIN,47.33
1948,7,Nikolaos SYLLAS,GRE,47.25
1948,8,Stein Jean JOHNSON,NOR,46.54
1948,9,Arvo Armas HUUTONIEMI,FIN,45.28
1948,10,Uno FRANSSON,SWE,45.25
1948,11,Hermann TUNNER,AUT,44.43
1948,12,Eduardo JULVE CIRIACO,PER,44.05
1948,13,Aad DE BRUYN,NED,
1948,14,José CARVAJAL,ESP,
1948,15,Raymond KIRSTETTER,FRA,
1948,16,José Luis TORRES,ESP,
1948,17,Ignace HEINRICH,FRA,
1948,18,Gang-hwan GIN,KOR,
1948,19,Mieczyslaw LOMOWSKI,POL,
