Year,Place,Name,Country,Mark
1948,1,John WINTER,AUS,1.98
1948,2,Bjorn Andreas PAULSON,NOR,1.95
1948,3,George Anthony STANICH,USA,1.95
1948,4,Dike EDDLEMAN,USA,1.95
1948,5,Geogres Etienne DAMITIO,FRA,1.95
1948,6,Arthur M. JACKES,CAN,1.90
1948,7,Alan Sinclair PATERSON,GBR,1.90
1948,8,Hans WAHLI,SUI,1.90
1948,9,Alfredo JADRESIC VARGAS,CHI,1.90
1948,10,Pierre LACAZE,FRA,1.90
1948,11,Göran WIDENFELT,SWE,1.90
1948,12,Prince Adegboyega ADEDOYIN,GBR,1.90
1948,13,Birger LEIRUD,NOR,1.90
1948,14,Lloyd VALBERG,SGP,1.80
1948,15,Hercules ASCUNE,URU,1.80
1948,16,Verne Voorhees Jr. MCGREW,USA,1.80
1948,17,Kuuno Ola HONKONEN,FIN,1.80
1948,18,S. GURNAM SINGH,IND,1.80
1948,19,Nils Ole NICKLEN,FIN,
1948,20,Bjørn GUNDERSEN,NOR,
1948,21,Thomas Theodore BRUCE,AUS,
1948,22,Peter MULLINS,AUS,
1948,23,Jorge AGUIRRE,MEX,
