Year,Place,Name,Country,Mark
1948,1,Olga GYARMATI,HUN,5.695
1948,2,Noemi SIMONETTO DE PORTELA,ARG,5.60
1948,3,Ann-Britt LEYMAN,SWE,5.575
1948,4,Gerda Johanna Marie VAN DER KADE-KOUDIJS,NED,5.57
1948,5,Neeltje Jannetje KARELSE,NED,5.545
1948,6,Kathleen May RUSSELL,JAM,5.495
1948,7,Judy CANTY,AUS,5.38
1948,8,Yvonne Alice CURTET-CHABOT,FRA,5.35
1948,9,Maria OBERBREYER-TRÖSCH,AUT,5.24
1948,10,Ilse STEINEGGER,AUT,5.195
1948,11,Vinton BECKETT,JAM,5.145
1948,12,Emma REED,USA,4.845
1948,13,Spomenka KOLEDIN,YUG,
1948,14,Ilona TOLNAI-RÁKHELY,HUN,
1948,15,Fanny BLANKERS-KOEN,NED,
1948,16,Carmen PHIPPS,JAM,
