Year,Place,Name,Country,Mark
1948,1,Arne AHMAN,SWE,15.40
1948,2,George Gordon AVERY,AUS,15.365
1948,3,Ruhi SARIALP,TUR,15.025
1948,4,Preben Kaj LARSEN,DEN,14.83
1948,5,Geraldo DE OLIVEIRA,BRA,14.825
1948,6,Karl Johan Valdemar RAUTIO,FIN,14.70
1948,7,Les MCKEAND,AUS,14.53
1948,8,Adhemar FERREIRA DA SILVA,BRA,14.49
1948,9,Ake HALLGREN,SWE,14.485
1948,10,William Everett ALBANS,USA,14.33
1948,11,Helio COUTINHO DA SILVA,BRA,14.31
1948,12,Won-gwon KIM,KOR,14.25
1948,13,Lennart MOBERG,SWE,14.215
1948,14,Henry REBELLO,IND,
1948,15,Charles THOMPSON,GUY,
