Year,Place,Name,Country,Mark
2012,1,Maryam Yusuf JAMAL,BRN,04:10.740
2012,2,Tatyana TOMASHOVA,RUS,04:10.900
2012,3,Abeba AREGAWI,ETH,04:11.030
2012,4,Shannon ROWBURY,USA,04:11.260
2012,5,Lucia HRIVNAK KLOCOVA,SVK,04:12.640
2012,6,Lisa DOBRISKEY,GBR,04:13.020
2012,7,Laura WEIGHTMAN,GBR,04:15.600
2012,8,Hellen Onsando OBIRI,KEN,04:16.570
2012,9,Morgan UCENY,USA,
2012,10,Btissam LAKHOUAD,MAR,
2012,11,Gamze BULUT,TUR,
2012,12,Anzhelika SHEVCHENKO,UKR,
2012,13,Ekaterina KOSTETSKAYA,RUS,
2012,14,Natallia KAREYVA,BLR,
2012,15,Aslı ÇAKIR,TUR,
2012,16,Anna MISHCHENKO,UKR,
2012,17,Ekaterina MARTYNOVA,RUS,
2012,18,Ingvill BOVIM,NOR,
