Year,Place,Name,Country,Mark
1932,1,Eddie TOLAN,USA,21.200
1932,2,George Sidney SIMPSON,USA,21.400
1932,3,Ralph METCALFE,USA,21.500
1932,4,Arthur JONATH,GER,21.500
1932,5,Carlos BIANCHI,ARG,21.600
1932,6,William John WALTERS,RSA,21.900
1932,7,Jose XAVIER DE ALMEIDA,BRA,
1932,8,Angelos LAMBROU,GRE,
1932,9,Carlos HOFMEISTER,ARG,
1932,10,Leonardo VALDÉS,CUB,
1932,11,Fernando ORTIZ,MEX,
1932,12,Antonio Cesar RODRIGUES,POR,
1932,13,Percy WILLIAMS,CAN,
1932,14,Arnaldo FERRARA,BRA,
1932,15,Felix RINNER,AUT,
1932,16,José Alberto TORRIENTE,CUB,
1932,17,Renos FRANGOUDIS,GRE,
1932,18,Fred REID,GBR,
1932,19,André THEARD,HAI,
1932,20,Khristos MANTIKAS,GRE,
1932,21,Ricardo VAZ GUIMARAES,BRA,
