Year,Place,Name,Country,Mark
1984,1,Gabriella DORIO,ITA,04:03.250
1984,2,Doina BESLIU-MELINTE,ROU,04:03.760
1984,3,Maricica PUICA,ROU,04:04.150
1984,4,Roswitha GERDES,FRG,04:04.410
1984,5,Christine Mary BENNING,GBR,04:04.700
1984,6,Christina BOXER-CAHILL,GBR,04:05.530
1984,7,Brit MCROBERTS,CAN,04:05.980
1984,8,Ruth Kleinsasser WYSOCKI,USA,04:08.920
1984,9,Fita LOVIN,ROU,04:09.110
1984,10,Deborah SCOTT-BOWKER,CAN,04:10.410
1984,11,Lynne MACDOUGALL,GBR,04:10.580
1984,12,Elisa (Elly) VAN HULST,NED,04:11.580
1984,13,Margit KLINGER,FRG,
