Year,Place,Name,Country,Mark
1984,1,Alessandro ANDREI,ITA,21.26
1984,2,Michael D'Andrea CARTER,USA,21.09
1984,3,David Lester LAUT,USA,20.97
1984,4,Augustus Louis WOLF,USA,20.93
1984,5,Werner GÜNTHÖR,SUI,20.28
1984,6,Marco MONTELATICI,ITA,19.98
1984,7,Soren TALLHEM,SWE,19.81
1984,8,Erik DE BRUIN,NED,19.65
1984,9,Aulis AKONNIEMI,FIN,18.98
1984,10,Gert Michel WEIL,CHI,18.69
1984,11,Bishop DOLEGIEWICZ,CAN,18.39
1984,12,Karsten STOLZ,FRG,18.31
1984,13,Bruno PAULETTO,CAN,
1984,14,Kari TÖYRYLÄ,FIN,
1984,15,Stefan FERNHOLM,SWE,
