Year,Place,Name,Country,Mark
1956,1,Bobby MORROW,USA,20.600
1956,2,Andrew William STANFIELD,USA,20.700
1956,3,Walter Thane BAKER,USA,20.900
1956,4,Michael AGOSTINI,TTO,21.100
1956,5,Boris TOKAREV,URS,21.200
1956,6,José TELLES DA CONCEIÇÃO,BRA,21.300
1956,7,René FARINE,SUI,
1956,8,Bruno URBEN,SUI,
1956,9,Stan LEVENSON,CAN,
1956,10,Carlos SIERRA,COL,
1956,11,Voitto Valdemar HELLSTEN,FIN,
1956,12,Geza VARASDI,HUN,
1956,13,Ghanim MAHMOUD,IRQ,
1956,14,Hilmar ROGNVALDSSON,ISL,
1956,15,Sinnayah KARUPPIAH JARABALAN,MAS,
1956,16,Zenon BARANOWSKI,POL,
1956,17,Norberto CRUZ,PUR,
1956,18,Edmund TURTON,TTO,
1956,19,Alfonso BRUNO,VEN,
