Year,Place,Name,Country,Mark
1956,1,Mildred Louise MCDANIEL,USA,1.76
1956,2,Thelma Elizabeth HOPKINS,GBR,1.67
1956,3,Mariya PISSAREVA,URS,1.67
1956,4,Gunhild LARKING,SWE,1.67
1956,5,Iolanda BALAS,ROU,1.67
1956,6,Michelle Mary MASON-BROWN,AUS,1.67
1956,7,Jessica Mary DONAGHY,NZL,1.67
1956,8,Hermina Lategan GEYSER,RSA,1.64
1956,9,Jiřina NĚMCOVÁ-VOBOŘILOVÁ,TCH,1.64
1956,10,Olga MODRAKOVA-DAVIDOVA,TCH,1.64
1956,11,Valentina BALLOD,URS,1.60
1956,12,Reinalde KNAPP,AUT,1.60
1956,13,Dorothy Beatrice J. ODAM-TYLER,GBR,1.60
1956,14,Carole Estelle BERNOTH,AUS,1.60
1956,15,Janice COOPER,AUS,1.55
1956,16,Alice Ann Doreen WHITTY,CAN,1.55
1956,17,Audrey Ethel BENNETT,GBR,1.55
1956,18,Inge KILIAN,GER,1.55
1956,19,Paola PATERNOSTER,ITA,
