Year,Place,Name,Country,Mark
1956,1,Parry O'BRIEN,USA,18.57
1956,2,William Henry NIEDER,USA,18.18
1956,3,Jiri SKOBLA,TCH,17.65
1956,4,Ken BANTUM,USA,17.48
1956,5,Boris BALYAEV,URS,16.96
1956,6,Erik UDDEBOM,SWE,16.65
1956,7,Karl-Heinz WEGMANN,GER,16.63
1956,8,Georgios TSAKANIKAS,GRE,16.56
1956,9,Barry William DONATH,AUS,16.52
1956,10,Silvano MECONI,ITA,16.28
1956,11,Robert Peter HANLIN,AUS,16.08
1956,12,William Barclay PALMER,GBR,15.81
1956,13,Vladimir LOSHCHILOV,URS,15.62
1956,14,Raymond THOMAS,FRA,15.31
1956,15,Vartan OVSEPIAN,URS,
1956,16,Todor Artarski TODOROV,BUL,
1956,17,Gerald Anthony CARR,GBR,
1956,18,Mark PHARAOH,GBR,
