Year,Place,Name,Country,Mark
1968,1,Kipchoge KEINO,KEN,03:34.900
1968,2,James Ronald RYUN,USA,03:37.800
1968,3,Bodo TÜMMLER,FRG,03:39.000
1968,4,Harald NORPOTH,FRG,03:42.500
1968,5,John H. WHETTON,GBR,03:43.800
1968,6,Jacques BOXBERGER,FRA,03:46.600
1968,7,Henryk SZORDYKOWSKI,POL,03:46.600
1968,8,Josef ODLOZIL,TCH,03:48.600
1968,9,Tom VON RUDEN,USA,03:49.200
1968,10,Benjamin Wabura JIPCHO,KEN,03:51.200
1968,11,Andre DE HERTOGHE,BEL,03:53.600
1968,12,Martin William LIQUORI,USA,04:18.200
1968,13,Blagoi KOSTOV,BUL,
1968,14,Jean WADOUX,FRA,
1968,15,Guillermo CUELLO,ARG,
