Year,Place,Name,Country,Mark
1968,1,James Randel MATSON,USA,20.54
1968,2,George Roger WOODS,USA,20.12
1968,3,Eduard GUSHCHIN,URS,20.09
1968,4,Dieter HOFFMANN,GDR,20.00
1968,5,David L. MAGGARD,USA,19.43
1968,6,Wladyslaw KOMAR,POL,19.28
1968,7,Uwe GRABE,GDR,19.03
1968,8,Heinfried BIRLENBACH,FRG,18.80
1968,9,Pierre COLNARD,FRA,18.79
1968,10,Jeffrey TEALE,GBR,18.65
1968,11,Leslie Roy MILLS,NZL,18.18
1968,12,Traugott GLÖCKLER,FRG,18.14
1968,13,Dieter PROLLIUS,GDR,
1968,14,George PUCE,CAN,
1968,15,Joe KASHMIRI,IRI,
1968,16,Lahcen Samsam AKKA,MAR,
1968,17,Rickard BRUCH,SWE,
