Year,Place,Name,Country,Mark
1968,1,Viktor SANEEV,URS,17.39
1968,2,Nelson PRUDENCIO,BRA,17.27
1968,3,Giuseppe GENTILE,ITA,17.22
1968,4,Arthur Franklin WALKER JR.,USA,17.12
1968,5,Nikolai DUDKIN,URS,17.09
1968,6,Philip MAY,AUS,17.02
1968,7,Jozef SCHMIDT,POL,16.89
1968,8,Mamsdou Monsour DIA,SEN,16.73
1968,9,Georgi Ivanov STOYKOVSKI,BUL,16.46
1968,10,Henrik KALOCSAI,HUN,16.45
1968,11,Joachim KÜGLER,FRG,15.90
1968,12,Luis Felipe ARETA SAMPERIZ,ESP,15.75
1968,13,Serban CIOCHINA,ROU,15.62
1968,14,Labh SINGH,IND,
