Year,Place,Name,Country,Mark
1976,1,Bärbel ECKERT-WÖCKEL,GDR,22.370
1976,2,Annegret RICHTER,FRG,22.390
1976,3,Renate STECHER,GDR,22.470
1976,4,Carla BODENDORF,GDR,22.640
1976,5,Inge HELTEN,FRG,22.680
1976,6,Tatiana PROROCHENKO,URS,23.030
1976,7,Denise ROBERTSON-BOYD,AUS,23.050
1976,8,Chantal REGA,FRA,23.090
1976,9,Fulgencia ROMAY MARTINEZ,CUB,
1976,10,Isabel TAYLOR RODRIHUEZ,CUB,
1976,11,Carmen VALDES CAPOTE,CUB,
1976,12,Sonia LANNAMAN,GBR,
1976,13,Rita BOTTIGLIERI,ITA,
1976,14,Linda HAGLUND,SWE,
1976,15,Brenda Louise MOREHEAD,USA,
