Year,Place,Name,Country,Mark
1976,1,Lasse VIRÉN,FIN,13:24.760
1976,2,Dick Theodorus QUAX,NZL,13:25.160
1976,3,Klaus-Peter HILDENBRAND,FRG,13:25.380
1976,4,Rodney DIXON,NZL,13:25.500
1976,5,Brendan FOSTER,GBR,13:26.190
1976,6,Willy POLLEUNIS,BEL,13:26.990
1976,7,Ian STEWART,GBR,13:27.650
1976,8,Aniceto SIMOES,POR,13:29.380
1976,9,Knut KVALHEIM,NOR,13:30.330
1976,10,Detlef UHLEMANN,FRG,13:31.070
1976,11,Enn SELLIK,URS,13:36.720
1976,12,Paul Geoffrey GEIS,USA,13:42.510
1976,13,Pekka Johannes PAIVARINTA,FIN,13:46.610
1976,14,Boris KUZNETSOV,URS,
1976,15,Mohamed BEN BARAKA,MAR,
1976,16,Saad Shetwy AL BISHY,KSA,
1976,17,Dave FITZSIMONS,AUS,
1976,18,Jose Joao DA SILVA,BRA,
1976,19,Knut BORO,NOR,
1976,20,Carlos LOPES,POR,
