Year,Place,Name,Country,Mark
1976,1,Evelin SCHLAAK-JAHL,GDR,69.00
1976,2,Maria VERGOVA-PETKOVA,BUL,67.30
1976,3,Gabriele HINZMANN,GDR,66.84
1976,4,Faina MELNIK,URS,66.40
1976,5,Sabine ENGEL,GDR,65.88
1976,6,Argentina MENIS,ROU,65.38
1976,7,Maria BETANCOURT RAMIREZ,CUB,63.86
1976,8,Nataliya GORBACHOVA,URS,63.46
1976,9,Carmen ROMERO FERRER,CUB,61.18
1976,10,Olga ANDRIANOVA,URS,60.80
1976,11,Jane HAIST,CAN,59.74
1976,12,Rita PFISTER,SUI,57.24
1976,13,Lucette MOREAU,CAN,55.88
1976,14,Danuta ROSANI,POL,
