Year,Place,Name,Country,Mark
1976,1,Jacek WSZOLA,POL,2.25
1976,2,Gregory JOY,CAN,2.23
1976,3,Dwight Edwin STONES,USA,2.21
1976,4,Sergey BUDALOV,URS,2.21
1976,5,Sergey SENYUKOV,URS,2.18
1976,6,Rodolfo BERGAMO,ITA,2.18
1976,7,Rolf BEILSCHMIDT,GDR,2.18
1976,8,Jesper TORRING,DEN,2.18
1976,9,Terje TOTLAND,NOR,2.18
1976,10,Rune ALMEN,SWE,2.18
1976,11,James Archibald Jr. BARRINEAU,USA,2.14
1976,12,Claude FERRAGNE,CAN,2.14
1976,13,William John JANKUNIS,USA,2.10
1976,14,Leif Roar FALKUM,NOR,2.10
1976,15,Bruno BROKKEN,BEL,
