Year,Place,Name,Country,Mark
1976,1,Rosemarie WITSCHAS-ACKERMANN,GDR,1.93
1976,2,Sara SIMEONI,ITA,1.91
1976,3,Yordanka BLAGOEVA-DIMITROVA,BUL,1.91
1976,4,Maria FAITHOVA-MRACNOVA,TCH,1.89
1976,5,Johanna Luann HUNTLEY,USA,1.89
1976,6,Tatyana SHLYAKHTO,URS,1.87
1976,7,Annette TANNANDER,SWE,1.87
1976,8,Cornelia POPESCU-POPA,ROU,1.87
1976,9,Andrea MATAY,HUN,1.87
1976,10,Julie WHITE,CAN,1.87
1976,11,Brigitte HOLZAPFEL,FRG,1.87
1976,12,Maria AHLERS,NED,1.84
1976,13,Galina FILATOVA,URS,1.84
1976,14,Snezana HREPEVNIK,YUG,1.84
1976,15,Susann SUNDQVIST,FIN,1.84
1976,16,Marie Christine DEBOURSE,FRA,1.84
1976,17,Anne PIRA,BEL,1.84
1976,18,Paula Darcel GIRVEN,USA,1.84
1976,19,Milada KARBANOVA,TCH,1.81
1976,20,Louise HANNA-WALKER,CAN,1.78
1976,21,Audrey REID,JAM,1.78
