Year,Place,Name,Country,Mark
1980,1,Viktor MARKIN,URS,44.600
1980,2,Richard MITCHELL,AUS,44.840
1980,3,Frank SCHAFFER,GDR,44.870
1980,4,Alberto JUANTORENA,CUB,45.090
1980,5,Alfons BRIJDENBACH,BEL,45.100
1980,6,Michael SOLOMON,TTO,45.550
1980,7,David Andrew JENKINS,GBR,45.560
1980,8,Joseph COOMBS,TTO,46.330
1980,9,Koen GIJSBERS,NED,
1980,10,Ramyan AL-RAMYAN,KUW,
1980,11,Ruben INACIO,ANG,
1980,12,Emmanuel BITANGA,CMR,
1980,13,Constantino REIS,MOZ,
1980,14,Boubacar DIALLO,SEN,
1980,15,Christer GULLSTRAND,SWE,
