Year,Place,Name,Country,Mark
1980,1,Tatiana KOLPAKOVA,URS,7.06
1980,2,Brigitte WUJAK,GDR,7.04
1980,3,Tatiana SKACHKO,URS,7.01
1980,4,Anna WLODARCZYK,POL,6.95
1980,5,Siegrun SIEGL,GDR,6.87
1980,6,Jarmila NYGRYNOVA,TCH,6.83
1980,7,Siegrid HEIMANN,GDR,6.71
1980,8,Lidiya ALFEYEVA,URS,6.71
1980,9,Susan HEARNSHAW,GBR,6.50
1980,10,Susan SCOTT-REEVE,GBR,6.46
1980,11,Barbara WOJNAR-BARAN,POL,6.33
1980,12,Lidia GUSHEVA,BUL,6.24
1980,13,Jennifer INNIS,GUY,6.10
1980,14,Estella MEHEUX,SLE,
1980,15,Dia TOUTOUNJI,SYR,
