Year,Place,Name,Country,Mark
1972,1,Yuri TARMAK,URS,2.23
1972,2,Stefan JUNGE,GDR,2.21
1972,3,Dwight Edwin STONES,USA,2.21
1972,4,Herman MAGERL,FRG,2.18
1972,5,Adam SZEPESI,HUN,2.18
1972,6,John BEERS,CAN,2.15
1972,7,Istvan MAJOR,HUN,2.15
1972,8,Rustam AKHMETOV,URS,2.15
1972,9,John HAWKINS,CAN,2.15
1972,10,Enzo DEL FORNO,ITA,2.15
1972,11,Jan DAHLGREN,SWE,2.15
1972,12,Vasilios PAPADIMITRIOU,GRE,2.15
1972,13,Kęstutis ŠAPKA,URS,2.15
1972,14,Bernard GAUTHIER,FRA,2.15
1972,15,Henri ELLIOTT,FRA,2.10
1972,16,Serban IOAN,ROU,2.10
1972,17,Gian Marco SCHIVO,ITA,2.10
1972,18,Lawrence William PECKHAM,AUS,2.10
1972,19,Hidehiko TOMIZAWA,JPN,2.05
1972,20,Bogusław BIALEK,POL,
1972,21,Irolan HECHEVARRÍA,CUB,
1972,22,Leif Roar FALKUM,NOR,
