Year,Place,Name,Country,Mark
1972,1,Ulrike MEYFARTH,FRG,1.92
1972,2,Yordanka BLAGOEVA-DIMITROVA,BUL,1.88
1972,3,Ilona GUSENBAUER-MAJDAN,AUT,1.88
1972,4,Barbara Jean INKPEN,GBR,1.85
1972,5,Rita SCHMIDT-KIRST,GDR,1.85
1972,6,Sara SIMEONI,ITA,1.85
1972,7,Rosemarie WITSCHAS-ACKERMANN,GDR,1.85
1972,8,Deborah BRILL,CAN,1.82
1972,9,Andrea BRUCE,JAM,1.82
1972,10,Ellen MUNDINGER,FRG,1.82
1972,11,Audrey REID,JAM,1.82
1972,12,Grith Ejstrup NIELSEN,DEN,1.82
1972,13,Rita GILDEMEISTER,GDR,1.82
1972,14,Renate GARTNER,FRG,1.82
1972,15,Miloslava REZKOVA-HUBNER,TCH,1.82
1972,16,Erika RUDOLF,HUN,1.79
1972,17,Maria AHLERS,NED,1.79
1972,18,Alena PROSKOVA,TCH,1.79
1972,19,Cornelia POPESCU-POPA,ROU,1.76
1972,20,Snezana HREPEVNIK,YUG,1.76
1972,21,Solveig Langkilde RASMUSSEN,DEN,1.76
1972,22,Milada KARBANOVA,TCH,1.76
1972,23,Magdolna KOMKA,HUN,1.71
1972,24,Kari KARLSEN,NOR,
1972,25,Margit PAPP-DERVALICS,HUN,
1972,26,Gladys Ng Mei CHAI,MAS,
1972,27,Maria Luisa VILCA,PER,
1972,28,Galina FILATOVA,URS,
