Year,Place,Name,Country,Mark
1972,1,Heide ROSENDAHL,FRG,6.78
1972,2,Diana CHRISTOVA-YORGOVA,BUL,6.77
1972,3,Eva SURANOVA,TCH,6.67
1972,4,Marcia Alejandra GARBEY MONTELL,CUB,6.52
1972,5,Adelheid (Heidi) SCHÜLLER,FRG,6.51
1972,6,Meta ANTENEN,SUI,6.49
1972,7,Viorica VISCOPOLEANU,ROU,6.48
1972,8,Margrit OLFERT,GDR,6.46
1972,9,Sheila Hilary PARKIN-SHERWOOD,GBR,6.41
1972,10,Ilona BRUZSENAK,HUN,6.39
1972,11,Willye WHITE,USA,6.27
1972,12,Jarmila NYGRYNOVA,TCH,6.24
1972,13,Angelika LIEBISCH,GDR,6.23
1972,14,Ileana VINTILA,ROU,6.13
1972,15,Irena Szewińska,POL,
