Year,Place,Name,Country,Mark
1972,1,Nadezhda CHIZHOVA,URS,21.03
1972,2,Margitta HELMBOLD-GUMMEL,GDR,20.22
1972,3,Ivanka Mikailova CHRISTOVA-TODOROVA,BUL,19.35
1972,4,Esfir DOLZHENKO-KRACHEVSKAYA,URS,19.24
1972,5,Marianne ADAM,GDR,18.94
1972,6,Marita LANGE,GDR,18.85
1972,7,Helena FIBINGEROVA,TCH,18.81
1972,8,Elena STOYANOVA,BUL,18.34
1972,9,Antonina IVANOVA,URS,18.28
1972,10,Ludwika CHEWINSKA,POL,18.24
1972,11,Judit BOGNAR-LENDVAI,HUN,18.23
1972,12,Radostina VASEKOVA,BUL,17.86
1972,13,Valentina CIOLTAN,ROU,16.62
