Year,Place,Name,Country,Mark
1924,1,Eric Henry LIDDELL,GBR,47.600
1924,2,Horatio FITCH,USA,48.400
1924,3,Guy Montagu BUTLER,GBR,48.600
1924,4,David JOHNSON,CAN,48.800
1924,5,John-Coard TAYLOR,USA,1:07.0
1924,6,Josef IMBACH,SUI,
1924,7,Johannes BROCK,DEN,
1924,8,Herbert KUTTIM,EST,
1924,9,Lajos FIXL,HUN,
1924,10,Luis LARRAÑAGA,ESP,
1924,11,Otto BENEDEK,AUT,
1924,12,Karl SCHENNER,AUT,
1924,13,J. REIZMAN,TCH,
1924,14,Karl SWATONEK,AUT,
1924,15,Bohus FLEISCHER,TCH,
1924,16,Edwin William CARR,AUS,
1924,17,Álvaro RIBEIRO,BRA,
1924,18,Miguel GARCIA-ONSALO,ESP,
1924,19,Fernando LABOURDETTE-LIARESQ,ESP,
1924,20,Anton HUSGAFVEL,FIN,
1924,21,Alexandros PAPAFINGOS,GRE,
1924,22,James S. HALL,IND,
1924,23,Will HILDRETH,IND,
1924,24,Puccio PUCCI,ITA,
1924,25,Joseph HILGER,LUX,
1924,26,Antoni CEJZIK,POL,
1924,27,Zygmunt WEISS,POL,
1924,28,George DUSTAN,RSA,
1924,29,Howard KINSMAN,RSA,
