Year,Place,Name,Country,Mark
1924,1,Lemuel Clarence HOUSER,USA,46.155
1924,2,Vilho Aleksander NIITTYMAA,FIN,44.95
1924,3,Thomas John LIEB,USA,44.83
1924,4,Augustus POPE,USA,44.42
1924,5,Ketil ASKILDT,NOR,43.40
1924,6,Glenn HARTRANFT,USA,42.49
1924,7,Dimitrios KARABATIS,GRE,
1924,8,David ESTEVEZ,URU,
1924,9,Jan MILDEV,BUL,
1924,10,Eduard KLAMBAUER,AUT,
1924,11,Bertil LÜNING,SWE,
1924,12,Karlo AMBROZY,YUG,
1924,13,Wilhelm SCHWARZINGER,AUT,
1924,14,Otakar PŘIDAL,TCH,
1924,15,Béla MOLNÁR,HUN,
1924,16,Ünvan TAYFUROĞLU,TUR,
1924,17,Jack MURDOCH,CAN,
1924,18,Khristos VRETTOS,GRE,
1924,19,Lajos CSEJTHEY,HUN,
1924,20,Aurelio LENZI,ITA,
1924,21,Jesus AGUIRRE DELGADO,MEX,
1924,22,Antoni CEJZIK,POL,
1924,23,Constant BUCHER,SUI,
1924,24,Allan ERIKSSON,SWE,
