Year,Place,Name,Country,Mark
1924,1,Anthony William WINTER,AUS,15.525
1924,2,Luis BRUNETO,ARG,15.425
1924,3,Vilho Immanuel TUULOS,FIN,15.37
1924,4,Väinö RAINIO,FIN,15.01
1924,5,Folke JANSSON,SWE,14.97
1924,6,Mikio ODA,JPN,14.35
1924,7,William De Hart HUBBARD,USA,
1924,8,André CLAYEUX,FRA,
1924,9,Fernando ARTIACH,ESP,
1924,10,B. SCHMIDT,TCH,
1924,11,Mario TRABUCCO,ITA,
1924,12,Alajos MAGYAR,HUN,
1924,13,Jan BENES,TCH,
1924,14,Mazhar Nazım RESMER,TUR,
1924,15,Mack KEEBLE,USA,
1924,16,Arne RANDMÆL,NOR,
1924,17,José María YERMO,ESP,
1924,18,Richard St. John HONNER,AUS,
1924,19,Erkki JÄRVINEN,FIN,
1924,20,Georgios ZAKHAROPOULOS,GRE,
1924,21,Ferenc MOLNAR,HUN,
1924,22,Elemer SOMFAY,HUN,
1924,23,Albino PIGHI,ITA,
1924,24,Kaare BACHE,NOR,
1924,25,Sverre HELGESEN,NOR,
