Year,Place,Name,Country,Mark
2016,1,Matthew CENTROWITZ,USA,03:50.000
2016,2,Taoufik MAKHLOUFI,ALG,03:50.110
2016,3,Nick WILLIS,NZL,03:50.240
2016,4,Ayanleh SOULEIMAN,DJI,03:50.290
2016,5,Abdalaati IGUIDER,MAR,03:50.580
2016,6,Asbel KIPROP,KEN,03:50.870
2016,7,David BUSTOS,ESP,03:51.060
2016,8,Ben BLANKENSHIP,USA,03:51.090
2016,9,Ryan GREGSON,AUS,03:51.390
2016,10,Nathan BRANNEN,CAN,03:51.450
2016,11,Ronald MUSAGALA,UGA,03:51.680
2016,12,Charlie GRICE,GBR,03:51.730
2016,13,Ronald KWEMOI,KEN,03:56.760
2016,14,Aman WOTE,ETH,
