Year,Place,Name,Country,Mark
1960,1,Ralph Harold BOSTON,USA,8.12
1960,2,Irvin ROBERSON,USA,8.11
1960,3,Igor TER-OVANESYAN,URS,8.04
1960,4,Manfred STEINBACH,GER,8.00
1960,5,Jorma Rainer VALKAMA,FIN,7.69
1960,6,Christian COLLARDOT,FRA,7.68
1960,7,Hendrik VISSER,NED,7.66
1960,8,Dmitri BONDARENKO,URS,7.58
1960,9,Manfred MOLZBERGER,GER,7.49
1960,10,Attilio BRAVI,ITA,7.47
1960,11,Demetrios MANGLARAS,GRE,7.45
1960,12,Paul FOREMAN,JAM,7.26
1960,13,Fred John ALSOP,GBR,7.25
1960,14,Ali YUSUF ZAID,AFG,
1960,15,José TELLES DA CONCEIÇÃO,BRA,
1960,16,Rouhollah RAHMANI,IRI,
1960,17,Iftikhar SHAH,PAK,
1960,18,Henryk GRABOWSKI,POL,
1960,19,Torgny WAHLANDER,SWE,
