Year,Place,Name,Country,Mark
1960,1,William Henry NIEDER,USA,19.68
1960,2,Parry O'BRIEN,USA,19.11
1960,3,Dallas Crutcher III LONG,USA,19.01
1960,4,Viktor LIPSNIS,URS,17.90
1960,5,Michael Robert LINDSAY,GBR,17.80
1960,6,Alfred SOSGORNIK,POL,17.57
1960,7,Dietrich (Dieter) URBACH,GER,17.47
1960,8,Martyn Taylor LUCKING,GBR,17.43
1960,9,Jiri SKOBLA,TCH,17.39
1960,10,Jaroslav PLIHAL,TCH,17.36
1960,11,Leslie Roy MILLS,NZL,17.06
1960,12,Hermann LINGNAU,GER,16.98
1960,13,Silvano MECONI,ITA,16.73
1960,14,Zsigmond NAGY,HUN,16.67
1960,15,Warren Perrins SELVEY,AUS,16.18
1960,16,Bruno GRAF,SUI,
1960,17,Todor Artarski TODOROV,BUL,
1960,18,Vilmos VARJU,HUN,
1960,19,Nuri TURAN,TUR,
