Year,Place,Name,Country,Mark
1988,1,John NGUGI,KEN,13:11.700
1988,2,Dieter BAUMANN,FRG,13:15.520
1988,3,Hansjörg KUNZE,GDR,13:15.730
1988,4,Domingos CASTRO,POR,13:16.090
1988,5,Sydney MAREE,USA,13:23.690
1988,6,Jack Richard BUCKNER,GBR,13:23.850
1988,7,Stefano MEI,ITA,13:26.170
1988,8,Evgeni Ignatov IGNATOV,BUL,13:26.410
1988,9,John DOHERTY,IRL,13:27.710
1988,10,Jonny DANIELSON,SWE,13:30.440
1988,11,Pascal THIEBAULT,FRA,13:31.990
1988,12,Yobes ONDIEKI,KEN,13:52.010
1988,13,Gary Martin STAINES,GBR,13:55.000
1988,14,Paul ARPIN,FRA,14:13.190
1988,15,Jose REGALO,POR,
1988,16,Davendra Prakash SINGH,FIJ,
