Year,Place,Name,Country,Mark
1912,1,Armas Rudolf TAIPALE,FIN,45.21
1912,2,Richard Leslie BYRD,USA,42.32
1912,3,Jim DUNCAN,USA,42.28
1912,4,Paul WILLFÜHR,GER,
1912,5,Andrew SHERIDAN,USA,
1912,6,Cesare ROSINI,ITA,
1912,7,Pietro ERCULEI,ITA,
1912,8,Knut THELNING,SWE,
1912,9,Károly NYILASSY,HUN,
1912,10,Henri PELISSIER,FRA,
1912,11,John HOOKER,USA,
1912,12,Pál ANTAL,HUN,
1912,13,Vilmos ZÖLDI,HUN,
1912,14,Peter FÚLE,HUN,
1912,15,Russell BEATTY,USA,
1912,16,August KIHLART,RUS,
1912,17,Karl MICHL,AUT,
1912,18,Gustave LEMASSON,FRA,
1912,19,Gustave AMOLY,FRA,
1912,20,Paavo AHO,FIN,
1912,21,Raoul Lucien PAOLI,FRA,
1912,22,Ned BARRETT,GBR,
1912,23,Patrick QUINN,GBR,
1912,24,Nikolaos GEORGANTAS,GRE,
1912,25,Imre MUDIN,HUN,
1912,26,Istvan MUDIN,HUN,
1912,27,Umberto AVATTANEO,ITA,
1912,28,Carlo BUTTI,ITA,
1912,29,Giuseppe TUGNOLI,ITA,
1912,30,John FALCKENBERG,NOR,
1912,31,Arvids OHSOL-BERNE,RUS,
1912,32,Eric LEMMING,SWE,
1912,33,Nils LINDE,SWE,
1912,34,Hugo K. WIESLANDER,SWE,
1912,35,Pat MCDONALD,USA,
1912,36,André DÉSFARGES,FRA,
