Year,Place,Name,Country,Mark
1912,1,Platt ADAMS,USA,1.63
1912,2,Benjamin W. ADAMS,USA,1.60
1912,3,Kostas TSIKLITIRAS,GRE,1.55
1912,4,Edvard MÖLLER,SWE,1.50
1912,5,Richard Leslie BYRD,USA,1.50
1912,6,Leo GOEHRING,USA,1.50
1912,7,John JOHANSSON,SWE,
1912,8,Carl FRICK,SWE,
1912,9,Isaac KAHN,FRA,
1912,10,Endré SZÁLL,HUN,
1912,11,Andor SZENDE,HUN,
1912,12,Daniel CAMPBELL,GBR,
1912,13,Maurice GARON,FRA,
1912,14,Géza VADON,HUN,
1912,15,Russ PALMER,USA,
1912,16,Leone LINARDI,ITA,
1912,17,Russell BEATTY,USA,
1912,18,Paul SMUTNÝ,CZE,
1912,19,Martin JACOBSEN,NOR,
1912,20,Georg HOLMQVIST,SWE,
1912,21,Giulio ALVISI,ITA,
1912,22,André PEUX,FRA,
1912,23,Clive TAYLOR,GBR,
1912,24,Rafael PELTONEN,FIN,
1912,25,Colombo ZEVOLA,ITA,
1912,26,André PETTRE,ITA,
1912,27,Francesco D'ERCOLE,ITA,
1912,28,Hans LANGKJÆR,DEN,
1912,29,Ladislav JIRANEK,CZE,
1912,30,Svend LANGKJAER,DEN,
1912,31,Marius François L. DELABY,FRA,
1912,32,Armand ESTANG,FRA,
1912,33,Henri Alphonse JARDIN,FRA,
1912,34,Alfred MOTTE,FRA,
1912,35,Timothy CARROLL,GBR,
1912,36,Walter Edward Bonhote HENDERSON,GBR,
1912,37,Thomas O'DONOHUE,GBR,
1912,38,Ivan WARDENER,HUN,
1912,39,Manlio LEGAT,ITA,
1912,40,Angelo TONINI,ITA,
1912,41,Georg ABERG,SWE,
1912,42,Douglas MELIN,SWE,
1912,43,Gunar NILSSON,SWE,
1912,44,John BILLER,USA,
1912,45,Francis C. IRONS,USA,
