Year,Place,Name,Country,Mark
1912,1,Kostas TSIKLITIRAS,GRE,3.34
1912,2,Platt ADAMS,USA,3.36
1912,3,Benjamin W. ADAMS,USA,3.28
1912,4,Olaf INGEBRETSEN,NOR,
1912,5,Louis SAINT-AUBERT,FRA,
1912,6,Angelo PEDRELLI,ITA,
1912,7,John JOHANSSON,SWE,
1912,8,Carl FRICK,SWE,
1912,9,Isaac KAHN,FRA,
1912,10,Endré SZÁLL,HUN,
1912,11,Claudio CARPI,ITA,
1912,12,Fernand GILLARD,FRA,
1912,13,András SOMODI,HUN,
1912,14,Laurent CASSON,FRA,
1912,15,Géza VADON,HUN,
1912,16,László TIHANYI,HUN,
1912,17,Russ PALMER,USA,
1912,18,Robert DE LA BROSSE,FRA,
1912,19,Leone LINARDI,ITA,
1912,20,Russell BEATTY,USA,
1912,21,Emmanuel TSALOUMAS,GRE,
1912,22,Zdislav PRÁGR,CZE,
1912,23,Ignácz AKOS,HUN,
1912,24,Martin JACOBSEN,NOR,
1912,25,Billy LEACH,GBR,
1912,26,Rafael PELTONEN,FIN,
1912,27,Helmer MÅHL,SWE,
1912,28,Maurice LARAIGNÉ,FRA,
1912,29,Francesco D'ERCOLE,ITA,
1912,30,Gyula PIVNIK,HUN,
1912,31,Hans LANGKJÆR,DEN,
1912,32,Sverre GRÖNER,NOR,
1912,33,Ladislav JIRANEK,CZE,
1912,34,Rodolfo HAMMERSLEY,CHI,
1912,35,Henri Alphonse JARDIN,FRA,
1912,36,Sidney Solomon ABRAHAMS,GBR,
1912,37,William HUNTER,GBR,
1912,38,Alfredo PAGANI,ITA,
1912,39,Angelo TONINI,ITA,
1912,40,Erik ALMLÖF,SWE,
1912,41,Einar NILSSON,SWE,
1912,42,Frank V. BELOTE,USA,
1912,43,John BILLER,USA,
1912,44,Albert Lovejoy GUTTERSON,USA,
1912,45,Francis C. IRONS,USA,
