Year,Place,Name,Country,Mark
2000,1,Gabriela SZABO,ROU,14:40.790
2000,2,Sonia O'SULLIVAN,IRL,14:41.020
2000,3,Gete WAMI,ETH,14:42.230
2000,4,Ayelech WORKU,ETH,14:42.670
2000,5,Irina MIKITENKO,GER,14:43.590
2000,6,Lydia CHEROMEI,KEN,14:47.350
2000,7,Werknesh KIDANE,ETH,14:47.400
2000,8,Olga YEGOROVA,RUS,14:50.310
2000,9,Jelena PROKOPCUKA,LAT,14:55.460
2000,10,Daniela YORDANOVA,BUL,14:56.950
2000,11,Rose CHERUIYOT,KEN,14:58.070
2000,12,Jo PAVEY,GBR,14:58.270
2000,13,Tatyana TOMASHOVA,RUS,15:01.280
2000,14,Vivian CHERUIYOT,KEN,15:33.660
2000,15,Olivera JEVTIC,SCG,
2000,16,Restituta JOSEPH,TAN,
